trajectory_idx,trajectory_name,model_name,rollout_type,start_coords,goal_coords,gt_length,pred_steps,reached_goal,frechet_km,mean_prob,elapsed_ms,pred_grid_path,gt_grid_path
0,a99d58a8-9a37-4f6d-b855-38f2bafd87a2,xgb_coarse_full_cisc,cisc,"(18, 53)","(21, 54)",5,5,True,0.0,0.8770477026700974,157.99900004640222,"[[18, 53], [19, 53], [20, 53], [20, 54], [21, 54]]","[[18, 53], [19, 53], [20, 53], [20, 54], [21, 54]]"
1,7438d153-8078-4c6b-b915-804ed5b35da0,xgb_coarse_full_cisc,cisc,"(25, 33)","(22, 31)",8,8,True,0.0,0.9746091536113194,265.86949988268316,"[[25, 33], [25, 32], [24, 32], [24, 31], [24, 30], [23, 30], [22, 30], [22, 31]]","[[25, 33], [25, 32], [24, 32], [24, 31], [24, 30], [23, 30], [22, 30], [22, 31]]"
2,b44564ae-54ce-4a0b-b6e3-0d1f5ac541bc,xgb_coarse_full_cisc,cisc,"(21, 17)","(17, 18)",8,8,True,0.0,0.9323687894003732,364.06719987280667,"[[21, 17], [21, 18], [20, 18], [19, 18], [19, 19], [19, 18], [18, 18], [17, 18]]","[[21, 17], [21, 18], [20, 18], [19, 18], [19, 19], [19, 18], [18, 18], [17, 18]]"
3,094c2acf-a0f6-471a-a234-41e550666671,xgb_coarse_full_cisc,cisc,"(24, 32)","(22, 34)",9,11,True,625.5278933130984,0.9609287083148956,375.212199985981,"[[24, 32], [25, 32], [24, 32], [24, 31], [24, 30], [23, 30], [22, 30], [22, 31], [22, 32], [22, 33], [22, 34]]","[[24, 32], [24, 31], [24, 30], [23, 30], [22, 30], [22, 31], [22, 32], [22, 33], [22, 34]]"
4,e5bfcc7c-4903-4341-a366-f65c5191dee7,xgb_coarse_full_cisc,cisc,"(23, 55)","(21, 53)",5,5,True,0.0,0.951540008187294,152.30880002491176,"[[23, 55], [22, 55], [22, 54], [21, 54], [21, 53]]","[[23, 55], [22, 55], [22, 54], [21, 54], [21, 53]]"
5,44c10bb0-f550-42bd-81a0-dff2c6911d4f,xgb_coarse_full_cisc,cisc,"(22, 31)","(21, 37)",8,8,True,0.0,0.9913441794259208,260.8823999762535,"[[22, 31], [22, 32], [22, 33], [22, 34], [22, 35], [21, 35], [21, 36], [21, 37]]","[[22, 31], [22, 32], [22, 33], [22, 34], [22, 35], [21, 35], [21, 36], [21, 37]]"
6,da4214ce-9b16-4d89-a45e-664f1790cb6a,xgb_coarse_full_cisc,cisc,"(16, 50)","(20, 41)",16,16,True,624.3494368675101,0.9314941167831421,569.5686999242753,"[[16, 50], [16, 49], [17, 49], [17, 48], [17, 47], [17, 46], [16, 46], [16, 45], [17, 45], [17, 44], [18, 44], [18, 43], [19, 43], [19, 42], [20, 42], [20, 41]]","[[16, 50], [16, 49], [17, 49], [17, 48], [17, 47], [16, 47], [16, 46], [16, 45], [17, 45], [17, 44], [18, 44], [18, 43], [19, 43], [19, 42], [20, 42], [20, 41]]"
7,90674131-f3e5-441e-8a07-1600bfb9f5a7,xgb_coarse_full_cisc,cisc,"(15, 53)","(14, 50)",5,5,True,624.9932016451236,0.8410188853740692,217.4366998951882,"[[15, 53], [15, 52], [15, 51], [14, 51], [14, 50]]","[[15, 53], [15, 52], [14, 52], [14, 51], [14, 50]]"
8,7e8e2836-4b82-4686-8e56-8f60530e15ab,xgb_coarse_full_cisc,cisc,"(24, 32)","(21, 53)",57,39,True,5840.197755185525,0.9513013896189237,1574.3819000199437,"[[24, 32], [24, 31], [24, 30], [23, 30], [22, 30], [22, 31], [22, 32], [22, 33], [22, 34], [22, 35], [21, 35], [21, 36], [21, 37], [20, 37], [20, 38], [19, 38], [19, 39], [18, 39], [18, 40], [18, 41], [18, 42], [17, 42], [17, 43], [17, 44], [17, 45], [17, 46], [17, 47], [17, 48], [17, 49], [16, 49], [16, 50], [17, 50], [17, 51], [18, 51], [18, 52], [19, 52], [20, 52], [20, 53], [21, 53]]","[[24, 32], [24, 31], [24, 30], [23, 30], [22, 30], [22, 29], [21, 29], [20, 29], [20, 28], [19, 28], [18, 28], [17, 28], [17, 29], [16, 29], [16, 30], [15, 30], [15, 31], [14, 31], [14, 32], [13, 32], [13, 33], [12, 33], [12, 34], [11, 34], [10, 34], [10, 35], [10, 36], [10, 37], [10, 38], [10, 39], [11, 39], [11, 40], [11, 41], [12, 41], [12, 42], [12, 43], [13, 43], [13, 44], [14, 44], [14, 45], [14, 46], [15, 46], [15, 47], [16, 47], [16, 48], [17, 48], [17, 49], [16, 49], [16, 50], [17, 50], [17, 51], [18, 51], [18, 52], [19, 52], [20, 52], [20, 53], [21, 53]]"
9,83b99f55-333e-46df-bed4-b5f3fa1bcc25,xgb_coarse_full_cisc,cisc,"(16, 50)","(10, 37)",22,22,True,0.0,0.9287073214848837,779.1885999031365,"[[16, 50], [16, 49], [17, 49], [17, 48], [16, 48], [16, 47], [15, 47], [15, 46], [14, 46], [14, 45], [14, 44], [13, 44], [13, 43], [12, 43], [12, 42], [12, 41], [11, 41], [11, 40], [11, 39], [11, 38], [10, 38], [10, 37]]","[[16, 50], [16, 49], [17, 49], [17, 48], [16, 48], [16, 47], [15, 47], [15, 46], [14, 46], [14, 45], [14, 44], [13, 44], [13, 43], [12, 43], [12, 42], [12, 41], [11, 41], [11, 40], [11, 39], [11, 38], [10, 38], [10, 37]]"
